epoch,global_step,learning_rate,stage,train_loss,training_batch_wer,val_loss,val_wer
0,0.0,,val_end,,,,
0,2039.0,9.397878602612764e-05,val_end,71.48110961914062,0.5314685106277466,,
0,2039.0,9.397878602612764e-05,train_end,71.48110961914062,0.5314685106277466,34.993221282958984,0.29391008615493774
1,4078.0,7.030813139863312e-05,val_end,22.586530685424805,0.4465116262435913,34.993221282958984,0.29391008615493774
1,4078.0,7.030813139863312e-05,train_end,22.586530685424805,0.4465116262435913,32.96427917480469,0.26744699478149414
2,6117.0,3.8300189771689475e-05,val_end,63.804786682128906,0.38695651292800903,32.96427917480469,0.26744699478149414
2,6117.0,3.8300189771689475e-05,train_end,63.804786682128906,0.38695651292800903,31.74047088623047,0.2618490159511566
3,8156.0,1.1427176104916725e-05,val_end,90.44883728027344,0.3870967626571655,31.74047088623047,0.2618490159511566
3,8156.0,1.1427176104916725e-05,train_end,90.44883728027344,0.3870967626571655,30.948001861572266,0.2548939883708954
4,10195.0009765625,1.0000026122725103e-06,val_end,53.572837829589844,0.35593220591545105,30.948001861572266,0.2548939883708954
4,10195.0009765625,1.0000026122725103e-06,train_end,53.572837829589844,0.35593220591545105,30.85447883605957,0.2548600435256958
